0.005,325.1
0.01,221.4
0.015,220.7
0.02,221.7
0.025,222.5
0.03,217.2
0.035,214.3
0.04,215.4
0.045,212.3
0.05,214.3
0.055,222.8
0.06,217.4
0.065,214.1
0.07,210.5
0.075,214.2
0.08,225.9
0.085,226.9
0.09,221.1
0.095,216.8
0.1,217.2
0.105,215.8
0.11,214.9
0.115,219.9
0.12,217.6
0.125,217.9
0.13,216.1
0.135,217.4
0.14,219.0
0.145,222.3
0.15,218.7
0.155,214.9
0.16,216.0
0.165,216.1
0.17,213.5
0.175,214.0
0.18,216.1
0.185,218.4
0.19,214.0
0.195,218.6
0.2,220.0
0.205,216.6
0.21,213.8
0.215,217.4
0.22,210.3
0.225,216.4
0.23,219.4
0.235,214.8
0.24,216.6
0.245,206.3
0.25,210.2
